block,first_page,last_page,offset,ff_pct,zero_pct,unique,entropy,dominant,dominant_pct,mixed_ff00_pct,abnormal_pages,erased_pages,zero_pages,reasons
254,16256,16319,33292288,0.4150390625,0.40740966796875,256,7.998547329690356,137,0.45623779296875,0.82244873046875,64,0,0,MANY_ABNORMAL_PAGES
255,16320,16383,33423360,0.374603271484375,0.452423095703125,256,7.99857736751697,0,0.452423095703125,0.8270263671875,64,0,0,MANY_ABNORMAL_PAGES
256,16384,16447,33554432,0.39520263671875,0.4302978515625,256,7.998519158990192,138,0.449371337890625,0.82550048828125,64,0,0,MANY_ABNORMAL_PAGES
257,16448,16511,33685504,0.379180908203125,0.469207763671875,256,7.998545000391646,0,0.469207763671875,0.848388671875,64,0,0,MANY_ABNORMAL_PAGES
258,16512,16575,33816576,0.376129150390625,0.441741943359375,256,7.9984876281096975,108,0.443267822265625,0.81787109375,64,0,0,MANY_ABNORMAL_PAGES
259,16576,16639,33947648,0.396728515625,0.432586669921875,256,7.998565713974703,250,0.447845458984375,0.829315185546875,64,0,0,MANY_ABNORMAL_PAGES
260,16640,16703,34078720,0.420379638671875,0.41961669921875,256,7.998579502478691,46,0.439453125,0.839996337890625,64,0,0,MANY_ABNORMAL_PAGES
261,16704,16767,34209792,0.390625,0.423431396484375,256,7.998626002437127,160,0.433349609375,0.814056396484375,64,0,0,MANY_ABNORMAL_PAGES
262,16768,16831,34340864,0.402069091796875,0.4119873046875,256,7.998509837565032,52,0.43792724609375,0.814056396484375,64,0,0,MANY_ABNORMAL_PAGES
263,16832,16895,34471936,0.35400390625,0.429534912109375,256,7.998618741704237,11,0.438690185546875,0.783538818359375,64,0,0,MANY_ABNORMAL_PAGES
264,16896,16959,34603008,0.42877197265625,0.376129150390625,256,7.998562815038523,229,0.45623779296875,0.804901123046875,64,0,0,MANY_ABNORMAL_PAGES
265,16960,17023,34734080,0.380706787109375,0.395965576171875,256,7.998746882407703,204,0.45166015625,0.77667236328125,64,0,0,MANY_ABNORMAL_PAGES
266,17024,17087,34865152,0.3936767578125,0.40435791015625,256,7.998494698647823,232,0.4425048828125,0.79803466796875,64,0,0,MANY_ABNORMAL_PAGES
267,17088,17151,34996224,0.400543212890625,0.46234130859375,256,7.998528989562079,0,0.46234130859375,0.862884521484375,64,0,0,MANY_ABNORMAL_PAGES
268,17152,17215,35127296,0.3570556640625,0.417327880859375,256,7.998452526160356,162,0.455474853515625,0.774383544921875,64,0,0,MANY_ABNORMAL_PAGES
269,17216,17279,35258368,0.41961669921875,0.4150390625,256,7.998685255306587,93,0.431060791015625,0.83465576171875,64,0,0,MANY_ABNORMAL_PAGES
270,17280,17343,35389440,0.3662109375,0.43182373046875,256,7.998612938909067,161,0.435638427734375,0.79803466796875,64,0,0,MANY_ABNORMAL_PAGES
271,17344,17407,35520512,0.372314453125,0.41351318359375,256,7.998818413707614,130,0.43182373046875,0.78582763671875,64,0,0,MANY_ABNORMAL_PAGES
272,17408,17471,35651584,0.41046142578125,0.443267822265625,256,7.998658899234017,39,0.447845458984375,0.853729248046875,64,0,0,MANY_ABNORMAL_PAGES
273,17472,17535,35782656,0.40130615234375,0.48065185546875,256,7.998636852371598,0,0.48065185546875,0.8819580078125,64,0,0,MANY_ABNORMAL_PAGES
274,17536,17599,35913728,0.3875732421875,0.4669189453125,256,7.998523791988321,0,0.4669189453125,0.8544921875,64,0,0,MANY_ABNORMAL_PAGES
275,17600,17663,36044800,0.38299560546875,0.446319580078125,256,7.9984650069858585,0,0.446319580078125,0.829315185546875,64,0,0,MANY_ABNORMAL_PAGES
276,17664,17727,36175872,0.373077392578125,0.428009033203125,256,7.998475688488711,220,0.445556640625,0.80108642578125,64,0,0,MANY_ABNORMAL_PAGES
277,17728,17791,36306944,0.408172607421875,0.420379638671875,256,7.998705851800419,8,0.432586669921875,0.82855224609375,64,0,0,MANY_ABNORMAL_PAGES
278,17792,17855,36438016,0.37078857421875,0.43792724609375,256,7.998558874123551,0,0.43792724609375,0.8087158203125,64,0,0,MANY_ABNORMAL_PAGES
279,17856,17919,36569088,0.394439697265625,0.406646728515625,256,7.9986172743170485,35,0.4364013671875,0.80108642578125,64,0,0,MANY_ABNORMAL_PAGES
280,17920,17983,36700160,0.417327880859375,0.435638427734375,256,7.998598121476078,250,0.4364013671875,0.85296630859375,64,0,0,MANY_ABNORMAL_PAGES
281,17984,18047,36831232,0.392913818359375,0.440216064453125,256,7.9985386315837355,195,0.443267822265625,0.8331298828125,64,0,0,MANY_ABNORMAL_PAGES
282,18048,18111,36962304,0.38604736328125,0.4150390625,256,7.998579934151086,188,0.4364013671875,0.80108642578125,64,0,0,MANY_ABNORMAL_PAGES
283,18112,18175,37093376,0.379180908203125,0.426483154296875,256,7.998598286034084,205,0.433349609375,0.8056640625,64,0,0,MANY_ABNORMAL_PAGES
284,18176,18239,37224448,0.382232666015625,0.45013427734375,256,7.998478735686223,0,0.45013427734375,0.832366943359375,64,0,0,MANY_ABNORMAL_PAGES
285,18240,18303,37355520,0.372314453125,0.42266845703125,256,7.998719144324898,230,0.43792724609375,0.79498291015625,64,0,0,MANY_ABNORMAL_PAGES
