block,first_page,last_page,offset,ff,ff_pct,zero,zero_pct,unique,entropy,dominant,dominant_count,dominant_pct,mixed_ff00_pct,all_ff,all_zero,abnormal_pages,erased_pages,zero_pages,abnormal,reasons
77,4928,4991,10092544,535,0.408172607421875,551,0.420379638671875,256,7.998705851800419,8,567,0.432586669921875,0.82855224609375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
78,4992,5055,10223616,486,0.37078857421875,574,0.43792724609375,256,7.998558874123551,0,574,0.43792724609375,0.8087158203125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
79,5056,5119,10354688,517,0.394439697265625,533,0.406646728515625,256,7.9986172743170485,35,572,0.4364013671875,0.80108642578125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
80,5120,5183,10485760,547,0.417327880859375,571,0.435638427734375,256,7.998598121476078,250,572,0.4364013671875,0.85296630859375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
81,5184,5247,10616832,515,0.392913818359375,577,0.440216064453125,256,7.9985386315837355,195,581,0.443267822265625,0.8331298828125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
82,5248,5311,10747904,506,0.38604736328125,544,0.4150390625,256,7.998579934151086,188,572,0.4364013671875,0.80108642578125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
83,5312,5375,10878976,497,0.379180908203125,559,0.426483154296875,256,7.998598286034084,205,568,0.433349609375,0.8056640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
84,5376,5439,11010048,501,0.382232666015625,590,0.45013427734375,256,7.998478735686223,0,590,0.45013427734375,0.832366943359375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
85,5440,5503,11141120,488,0.372314453125,554,0.42266845703125,256,7.998719144324898,230,574,0.43792724609375,0.79498291015625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
86,5504,5567,11272192,510,0.38909912109375,569,0.434112548828125,256,7.9986511474440825,78,579,0.441741943359375,0.823211669921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
87,5568,5631,11403264,518,0.39520263671875,561,0.428009033203125,256,7.998620318932229,192,573,0.437164306640625,0.823211669921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
88,5632,5695,11534336,509,0.388336181640625,528,0.40283203125,256,7.998686987795967,79,576,0.439453125,0.791168212890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
89,5696,5759,11665408,519,0.395965576171875,581,0.443267822265625,256,7.998568055608889,0,581,0.443267822265625,0.8392333984375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
90,5760,5823,11796480,519,0.395965576171875,551,0.420379638671875,256,7.998439486071379,112,569,0.434112548828125,0.81634521484375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
91,5824,5887,11927552,515,0.392913818359375,575,0.438690185546875,256,7.99830478029668,74,617,0.470733642578125,0.83160400390625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
92,5888,5951,12058624,514,0.39215087890625,547,0.417327880859375,256,7.998400758983486,227,571,0.435638427734375,0.809478759765625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
93,5952,6015,12189696,502,0.38299560546875,519,0.395965576171875,256,7.998476164738315,2,581,0.443267822265625,0.778961181640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
94,6016,6079,12320768,541,0.412750244140625,560,0.42724609375,256,7.9985102995706825,90,583,0.444793701171875,0.839996337890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
95,6080,6143,12451840,492,0.3753662109375,545,0.415802001953125,256,7.998646593326772,64,573,0.437164306640625,0.791168212890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
96,6144,6207,12582912,540,0.4119873046875,516,0.3936767578125,256,7.998569886242121,112,569,0.434112548828125,0.8056640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
97,6208,6271,12713984,535,0.408172607421875,566,0.43182373046875,256,7.998653009917198,45,572,0.4364013671875,0.839996337890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
98,6272,6335,12845056,480,0.3662109375,553,0.421905517578125,256,7.998550226646583,74,588,0.4486083984375,0.788116455078125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
99,6336,6399,12976128,488,0.372314453125,548,0.4180908203125,256,7.998347329917299,198,585,0.446319580078125,0.7904052734375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
100,6400,6463,13107200,522,0.39825439453125,555,0.423431396484375,256,7.998741606160861,53,564,0.4302978515625,0.821685791015625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
101,6464,6527,13238272,495,0.377655029296875,549,0.418853759765625,256,7.998435323311511,151,585,0.446319580078125,0.7965087890625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
102,6528,6591,13369344,540,0.4119873046875,580,0.4425048828125,256,7.998349587772622,0,580,0.4425048828125,0.8544921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
103,6592,6655,13500416,509,0.388336181640625,567,0.432586669921875,256,7.998699328547884,141,573,0.437164306640625,0.8209228515625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
104,6656,6719,13631488,515,0.392913818359375,564,0.4302978515625,256,7.998501323053451,134,572,0.4364013671875,0.823211669921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
105,6720,6783,13762560,521,0.397491455078125,586,0.44708251953125,256,7.998438350867046,0,586,0.44708251953125,0.844573974609375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
106,6784,6847,13893632,524,0.3997802734375,565,0.431060791015625,256,7.998685386123761,206,573,0.437164306640625,0.830841064453125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
107,6848,6911,14024704,523,0.399017333984375,626,0.47760009765625,256,7.9984617423597575,0,626,0.47760009765625,0.876617431640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
108,6912,6975,14155776,545,0.415802001953125,570,0.43487548828125,256,7.998547940544149,159,572,0.4364013671875,0.850677490234375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
109,6976,7039,14286848,484,0.3692626953125,587,0.447845458984375,256,7.9986823238036555,0,587,0.447845458984375,0.817108154296875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
110,7040,7103,14417920,468,0.3570556640625,579,0.441741943359375,256,7.998326140708879,254,586,0.44708251953125,0.798797607421875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
111,7104,7167,14548992,499,0.380706787109375,552,0.421142578125,256,7.998561760394937,103,582,0.44403076171875,0.801849365234375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
112,7168,7231,14680064,514,0.39215087890625,572,0.4364013671875,256,7.998663714798939,167,588,0.4486083984375,0.82855224609375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
